Date,ESM6P 2175 Index,ESM6P 2180 Index,ESM6P 2185 Index,ESM6P 2190 Index,ESM6P 2195 Index,ESM6P 2200 Index,ESM6P 2205 Index,ESM6P 2210 Index,ESM6P 2215 Index,ESM6P 2220 Index,ESM6P 2225 Index,ESM6P 2230 Index,ESM6P 2235 Index,ESM6P 2240 Index,ESM6P 2245 Index,ESM6P 2250 Index,ESM6P 2255 Index,ESM6P 2260 Index,Open,High,Low,Close
1/7/2016,257.75,262,266.5,271,275.5,280,284.5,289,293.5,298.25,303,307.5,312.25,317,321.75,326.5,331.5,336.25,253.5,253.5,253.5,253.5
1/6/2016,210,214,218,222.25,226.25,230.5,234.75,239,243.25,247.75,252,256.5,261,265.5,270.25,274.75,279.5,284,206,206,206,206
1/5/2016,188.75,192.25,196,200,204,208,212,216,220,224.25,228.5,232.75,237.25,241.5,246,250.5,255,259.5,185,185,185,185
1/4/2016,192.5,196,200,203.75,207.5,211.5,215.5,219.5,223.75,228,232,236.25,240.5,245,249.25,253.75,258.25,262.75,189,189,189,189
12/31/2015,170.75,174.25,177.75,181.25,184.75,188.5,192.25,196,200,204,208,212,216.25,220.5,224.5,228.75,233,237.5,167.5,167.5,167.5,167.5
12/30/2015,157,160,163.5,166.75,170,173.5,177,180.5,184.25,188,191.75,195.75,199.5,203.5,207.5,211.75,216,220,153.75,153.75,153.75,153.75
12/29/2015,144,147,150,153.25,156.25,159.5,163,166.5,170,173.5,177.25,181,184.5,188.5,192.25,196.25,,204.25,141,141,141,141
12/28/2015,161.5,164.75,168,171.5,175,178.5,182,185.75,189.5,193.25,197,201,205,209,213,217.25,,225.75,158.25,158.25,158.25,158.25
12/24/2015,161,164.5,167.75,171,174.5,178,181.5,185,188.75,192.5,196.25,200.25,,208,,216.25,,224.5,158,158,158,158
12/23/2015,159.75,163,166.25,169.5,173,176.5,180,183.5,187.25,191,194.75,198.5,,206.5,,214.5,,222.75,156.5,156.5,156.5,156.5
12/22/2015,173.25,176.75,180.25,183.5,187.25,191,194.5,198.5,202.25,206,210,214,,222,,230.5,,239,170,170,170,170
12/21/2015,191,194.5,198.25,202,205.5,209.5,213.25,217.25,221,225,229,233.25,,241.5,,250.25,,259,187.5,187.5,187.5,187.5
12/18/2015,210.5,214.25,218,221.75,225.5,229.5,233.5,237.75,241.75,246,250.25,254.5,,263,,271.75,,280.75,206.75,206.75,206.75,206.75
12/17/2015,184.25,187.75,,194.75,,202,,209.5,,217.5,221.25,225.25,,233.5,,241.75,,250.5,181,181,181,181
12/16/2015,156.5,159.5,,165.75,,172.25,,179,,186,189.5,193.25,,200.5,,208.25,,216.25,153.5,153.5,153.5,153.5
12/15/2015,177.75,181,,187.75,,194.75,,202,,209.5,213.25,217,,225,,232.75,,241,174.5,174.5,174.5,174.5
12/14/2015,199.5,203,,210,,217.5,,225,,233,237,241,,249.25,,257.5,,266,196,196,196,196
12/11/2015,208,211.5,,218.75,,226.25,,234,,241.75,245.5,249.5,,257.75,,266.25,,274.75,204.5,204.5,204.5,204.5
12/10/2015,175.5,178.5,,185.25,,192,,199.25,,206.5,210.25,214,,221.75,,229.75,,237.75,172.25,172.25,172.25,172.25
12/9/2015,179.75,183,,190,,197,,204,,211.5,215.25,219,,227,,235,,243.25,158.75,159.25,158.75,176.5
12/8/2015,167.25,170.25,,176.5,,183.25,,190.25,,197.25,201,204.5,,212,,220,,228,164,164,164,164
12/7/2015,150.5,153.25,,159.25,,165.5,,172,,178.75,182.25,185.75,,193,,200.5,,208,147.5,147.5,147.5,147.5
12/4/2015,145.5,148.5,,154.25,,160.5,,166.75,,173.25,176.5,180,,187,,194.5,,202,142.75,142.75,142.75,142.75
12/3/2015,172.25,175.25,,182,,188.75,,195.75,,203,206.5,210.5,,218,,226,,234,169,169,169,169
12/2/2015,151,154,,160,,166.25,,172.5,,179.25,182.5,186,,193.25,,200.5,,208.25,148.25,148.25,148.25,148.25
12/1/2015,139.25,142,,147.5,,153.5,,159.5,,165.75,169,172.25,,179,,186,,193.25,136.5,136.5,136.5,136.5
11/30/2015,154.5,157.5,,163.5,,169.5,,176,,182.5,186,189.5,,196.5,,203.75,,211.25,151.5,151.5,151.5,151.5
11/27/2015,148,150.75,,156.5,,162.5,,168.75,,175,178.5,181.75,,188.75,,195.75,,203,145.25,145.25,145.25,145.25
11/25/2015,149.5,152.5,,158.25,,164.25,,170.5,,176.75,180,183.5,,190.5,,197.5,,204.75,147,147,147,147
